"ID","Session","TimeRemaining","Misses","Hits","overallAverageMouseSpeed","thresholdedDirectionChanges","ClickFrequency","Level"
"162","k2r1i1rkf8ssx9r6cdhds","0","1","39","16.223","183","0.667","3"
"163","k2r1i1rkf8ssx9r6cdhds","0","1","39","17.14","179","0.667","3"
"164","k2r1i1rkf8ssx9r6cdhds","0","0","39","19.946","183","0.65","3"
"165","fv0e4ccodvfx95kkdbcozf","0","0","29","13.482","175","0.483","3"
"166","si1leok2jsohrqqqmhvqui","0","1","32","16.943","218","0.55","3"
"167","si1leok2jsohrqqqmhvqui","0","1","36","18.639","211","0.617","3"
"168","ssqufbeil7rav0sbqilgrj","0","0","31","14.602","203","0.517","3"
"169","940vm64vx4ojtr56p2isz","0","1","35","15.205","204","0.6","3"
"170","archa5200lm3q163motygh","0","3","21","327.991","21","0.4","3"
"171","ip6rtep9qdqaouxedm1s","0","1","28","13.555","77","0.483","3"
"172","dm0wwzqr486nm4dvep77c","0","1","39","16.141","193","0.667","3"
"173","q5mkkzqb8r28eyu0ifoql","0","0","22","16.61","140","0.367","3"
"174","6jcdlinak7jqvvtd94s4gj","0","1","33","15.019","196","0.567","3"
"175","j7z82u9lepdvluy4iw9nn","0","6","0","220.449","4","0.1","3"
"176","lifhnnr53rbfwh9bcdcwg","0","0","33","21.734","113","0.55","3"
"177","tsgfjnwfnjasc81i0yud","0","1","33","8.031","199","0.567","3"
"178","kwjekkoqhbrtzexrr7p5l","0","7","19","300.401","23","0.433","3"
"179","zw6angvwujq8j42ceivi79","0","0","18","10.199","100","0.3","3"
"180","p4x0x19nxz3nntky6fhrr","0","2","26","14.301","97","0.467","3"
"181","sbk0be21inl4q0dudq5ajb","0","0","37","13.256","190","0.617","3"
"182","ooztkbw0ncf08ggrtihh2kp","0","5","27","1.583","36","0.533","3"
"183","6mthqqg1e8vj3qu7i61a3l","0","1","24","21.623","237","0.417","3"
"184","2pafe5llxz5jgkvmp50we","0","2","43","15.259","163","0.75","3"
"185","llgg9nempnuxcwc8arx1e","0","5","36","15.118","212","0.683","3"
"186","iydxdv7rztoa1pove6f9ce","0","6","37","15.339","199","0.717","3"
"187","eti05sm1g9tv7pcqmbo1tf","0","5","35","17.317","184","0.667","3"
"188","uqkeq5k8fleu47d5j3rpjp","0","5","40","15.781","179","0.75","3"
"189","jnfm406e4kk0fpb74t4vdo9","0","5","33","19.047","207","0.633","3"
"190","fanhnwcphc55hxd9a85enb","0","9","33","18.183","213","0.7","3"
"191","6o7opuifq52y1fpsk7qx4","0","7","38","14.095","162","0.75","3"
"192","xf1o18903srqrcfhbmrgdd","0","3","33","14.163","171","0.6","3"
"193","ovwb9uftl3o3gz4ncgf8km","0","8","28","13.284","163","0.6","3"
"194","icn1017y1mmf9co53ce8u","0","4","42","14.886","229","0.767","3"
"195","wtrerxqquox9otefmgy9a","0","3","39","17.78","187","0.7","3"
"196","agijq6siu42dp3pjk6vep","0","5","36","17.321","158","0.683","3"
"197","mzpx9ramjbdn0niailxvzg","0","8","30","18.948","205","0.633","3"
"198","vxcn4n1hp5nkduc0qb5jmc","0","1","33","1.972","283","0.567","3"
"199","pjllhjb7pz6ghnp2ojaw","0","16","30","16.257","177","0.767","3"
"200","9uaqyil6rhdeislbc7lw1","0","0","27","9.76","108","0.45","3"
"201","fs5nft5gband28xxs4vryb","0","0","33","13.901","132","0.55","3"
"202","51de7vhrvaprsoobbtbv4","0","3","36","15.237","141","0.65","3"
"203","5ulsv5nl7euk5dfjr8p8sc","0","22","28","14.975","147","0.833","3"
"204","rj209v678cbe83010bap2b","0","3","23","19.033","207","0.433","3"
"205","bam5jhi3q2h6orvg8qymzm","0","12","35","17.495","194","0.783","3"
"206","wsejglkv1ko5tzy64f6dxq","0","14","32","19.944","231","0.767","3"
"207","jn43at34zhcqa6ca31ane8","0","6","34","19.945","241","0.667","3"
"208","83k6ojgohuxlj7dorly32c","0","1","29","11.507","145","0.5","3"
"209","0w6t2jiu923kili79wmg5n","0","7","32","14.469","155","0.65","3"
"210","i1utooe6iyjl98mduen9ml","0","15","31","16.897","202","0.767","3"
"211","s6oeaqq3nz3bk8yjjn2dq","0","3","39","14.906","197","0.7","3"
"212","sj5c8tai4zez0cq1zwqgqs","0","16","33","15.131","167","0.817","3"
"213","y8vns2cwvdgr5lji153mf","0","11","38","15.453","164","0.817","3"
"214","noomyt7bdlgpz251yjo8sj","0","14","37","24.342","236","0.85","3"
"215","vsq5q7gidhr67hhwg5wdto","0","4","33","11.206","145","0.617","3"
"216","sginoi8d1kq5nrcmh0e61d","0","33","29","17.778","173","1.033","3"
"217","2dzb4xl2a3tbwdjj4d18n6","0","7","37","16.729","219","0.733","3"
